CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg)
[deg],[J/deg]
-150,0,185844
-149,0,182088
-148,0,166025
-147,0,176736
-146,0,158469
-145,0,179211
-144,0,228871
-143,0,24357
-142,0,246591
-141,0,239939
-140,0,201061
-139,0,147601
-138,0,179946
-137,0,245515
-136,0,282239
-135,0,273033
-134,0,24875
-133,0,221729
-132,0,209348
-131,0,218308
-130,0,241992
-129,0,28672
-128,0,318557
-127,0,307022
-126,0,291408
-125,0,301409
-124,0,2785
-123,0,267499
-122,0,24992
-121,0,208136
-120,0,19714
-119,0,202387
-118,0,1898
-117,0,174425
-116,0,187801
-115,0,217457
-114,0,23501
-113,0,246017
-112,0,311345
-111,0,365059
-110,0,356659
-109,0,36908
-108,0,392732
-107,0,418512
-106,0,478172
-105,0,50882
-104,0,459937
-103,0,396828
-102,0,343181
-101,0,335221
-100,0,376303
-99,0,38124
-98,0,340892
-97,0,320535
-96,0,367071
-95,0,396551
-94,0,351502
-93,0,312035
-92,0,314279
-91,0,318765
-90,0,324386
-89,0,341883
-88,0,350784
-87,0,362521
-86,0,372568
-85,0,370649
-84,0,38466
-83,0,397623
-82,0,3927
-81,0,358195
-80,0,343223
-79,0,36601
-78,0,364734
-77,0,347894
-76,0,320308
-75,0,315423
-74,0,345474
-73,0,383317
-72,0,386743
-71,0,356916
-70,0,33491
-69,0,330441
-68,0,325613
-67,0,313981
-66,0,292847
-65,0,26173
-64,0,257888
-63,0,263884
-62,0,254265
-61,0,254837
-60,0,2801
-59,0,270689
-58,0,237859
-57,0,233347
-56,0,223913
-55,0,199379
-54,0,188136
-53,0,184608
-52,0,180319
-51,0,168778
-50,0,135071
-49,0,0827114
-48,0,0619631
-47,0,0596584
-46,0,0324809
-45,0,00975782
-44,0,0282727
-43,0,0405633
-42,0,0163555
-41,-0,027712
-40,-0,0936582
-39,-0,122274
-38,-0,125501
-37,-0,168518
-36,-0,226516
-35,-0,280041
-34,-0,355455
-33,-0,400989
-32,-0,411794
-31,-0,44105
-30,-0,579205
-29,-0,912532
-28,-1,20912
-27,-1,20409
-26,-1,0077
-25,-0,813429
-24,-0,490531
-23,0,261607
-22,1,12156
-21,1,29444
-20,0,545852
-19,-0,0253763
-18,0,914325
-17,3,89135
-16,7,80645
-15,9,71548
-14,8,6392
-13,6,29218
-12,4,00089
-11,2,23069
-10,0,937553
-9,-0,034447
-8,-0,695849
-7,-1,14924
-6,-1,45988
-5,-1,6282
-4,-1,67031
-3,-1,66169
-2,-1,62469
-1,-1,67706
0,-0,77406
1,5,60523
2,16,5067
3,22,5155
4,25,2096
5,30,4446
6,36,0482
7,40,6024
8,44,0019
9,45,0616
10,41,7332
11,34,5977
12,27,1151
13,21,5858
14,18,0968
15,15,9233
16,14,3525
17,13,2332
18,12,4776
19,11,7479
20,10,9397
21,10,0329
22,9,06574
23,8,18026
24,7,36504
25,6,5776
26,5,88519
27,5,40338
28,4,96155
29,4,4272
30,3,96583
31,3,56053
32,3,14223
33,2,73522
34,2,37227
35,2,1431
36,1,96698
37,1,74276
38,1,57037
39,1,46835
40,1,31203
41,1,08557
42,0,871742
43,0,709793
44,0,629313
45,0,560838
46,0,469541
47,0,410471
48,0,345456
49,0,306061
50,0,293313
51,0,216636
52,0,133649
53,0,155702
54,0,157479
55,0,0616354
56,-0,0121938
57,-0,054106
58,-0,134637
59,-0,196288
60,-0,19898
61,-0,180866
62,-0,155651
63,-0,135627
64,-0,148437
65,-0,178736
66,-0,178089
67,-0,209711
68,-0,261524
69,-0,251778
70,-0,254144
71,-0,301066
72,-0,349994
73,-0,37613
74,-0,332496
75,-0,246296
76,-0,225332
77,-0,280324
78,-0,306022
79,-0,295278
80,-0,292162
81,-0,267774
82,-0,24137
83,-0,233118
84,-0,23525
85,-0,241986
86,-0,279561
87,-0,365292
88,-0,405528
89,-0,378007
90,-0,372555
91,-0,370908
92,-0,354308
93,-0,373155
94,-0,402928
95,-0,38238
96,-0,364374
97,-0,362229
98,-0,328044
99,-0,348417
100,-0,396273
101,-0,357586
102,-0,309789
103,-0,347964
104,-0,395075
105,-0,377408
106,-0,36043
107,-0,37784
108,-0,369565
109,-0,345678
110,-0,354339
111,-0,401244
112,-0,435225
113,-0,427488
114,-0,382854
115,-0,297529
116,-0,268544
117,-0,346005
118,-0,385094
119,-0,322215
120,-0,269581
121,-0,294115
122,-0,325614
123,-0,32634
124,-0,333673
125,-0,339962
126,-0,380794
127,-0,466807
128,-0,553909
129,-0,635858
130,-0,782962
131,-0,979064
132,-1,09346
133,-1,21202
134,-1,41925
135,-1,63108
136,-1,80921
137,-1,9928
138,-1,04751
139,0
